primary_title,start_year,directors,primary_name,category
"Corn Stalk",2010,nm1810522,"Danny MAlin",actor
"The Great American Moon Rock Caper",2010,nm1784201,"Travis Ammons",actor
100Volta,2009,nm4393594,"Daniel Souza",actor
"The Perfect Homicide",2004,nm4909357,"Mauro Cerminara",actor
"Mother Is a Whore",2009,nm3147876,"Sang-woo Lee",actor
"Secrets of the Serpent: In Search of the Sacred Past",2006,nm3032813,"Philip Gardiner",actor
GoldenEar,2007,nm4345041,"Sean Konig",actor
Ebadat,2009,nm2636694,"A.T.M. Shamsuzzaman",actor
"Adriane's Warehouse",2010,nm5235838,"Adriane Marrin",actress
"A Fucking Cruel Nightmare",2010,nm5759577,"Sebastian Zeglarski",actor
"Sins of the Father",2009,nm6767583,"Matthew Winstead",actor
Nagaram,2010,nm1326535,"Sundar C.",actor
"Om Shanti: Fight for Peace",2008,nm7749909,"Dashrath Kachrawat",actor
"Mastera poroka",2010,nm8455941,"Anton Kredlov",actor
Metempsychosis,2008,nm8651103,"Dario Russo",actor
"Velke oci maju strach",2003,nm9332013,"Julian Bosak",actor
"Jaana Na Dil Se Door....",2001,nm0025629,"Vijay Anand",actor
"Unveiling Dubai",2005,nm2043534,"Nayla Al Khaja",actress
"Curse of the Sacred Mountain",2005,nm0801174,"Rick Simpson",actor
"The masked knight",2010,nm0135039,"Francesc Xavier Capell",actor
Roots,2001,nm0694796,"Beata Pozniak",actress
"Amy's Orgasm",2001,nm0006874,"Julie Davis",actress
"Head of State",2003,nm0001674,"Chris Rock",actor
"The Diva and the Falcon: Gothic Tragedy in a Montevideo Town",2001,nm1250829,"Silvestre Byrón",actor
"How Henry Miller Changed My Life",2001,nm1289723,"David A. Gluck",actor
"Strangers with Candy",2005,nm0227576,"Paul Dinello",actor
Hawayein,2003,nm1436449,"Amitoj Mann",actor
"Johnny Come Lately",2004,nm0944387,"Francis Xavier",actor
"Ngatahi: Know the Links",2004,nm1503414,"Dean Hapeta",actor
"The Ape",2005,nm0290556,"James Franco",actor
"The Gospel of Lou",2003,nm0139617,"Bret Carr",actor
"Just Indian",2004,nm1625495,"Sonny Jhamb",actor
"Vladimir Günstig - Eine trojanische Affäre",2000,nm0182465,"Hellmuth Costard",actor
"Balas & Bolinhos",2001,nm1644176,"Luis Ismael",actor
Swarabhishekam,2004,nm0899649,"K. Viswanath",actor
Texas,2005,nm0661001,"Fausto Paravidino",actor
"The Dysfunctional",2004,nm1870028,"Filip Filkovic",actor
Folk!,2010,nm1780689,"Roxy Toporowych",actress
"Fried Green Tomorrows: Juliette, GA Lives",2006,nm0129244,"Neill Calabro",actor
"Room 314",2006,nm1008619,"Michael Knowles",actor
"Obtuse Todd",2006,nm1898587,"Matt Farley",actor
"The Lost Hum",2006,nm2127333,"Hiromasa Hirosue",actor
"Just the Two of Us",2006,nm0631689,"Keenon Nikita",actor
"The Christies",2006,nm0612465,"Phil Mulloy",actor
"Untitled Composition #1",2005,nm2437588,"Neamh Bannatyne",actor
Stealth,2006,nm0047049,"Lionel Baier",actor
"Cracker Crazy: Invisible Histories of the Sunshine State",2007,nm1499605,"Georg Koszulinski",actor
"Welcome to the Sticks",2008,nm0200702,"Dany Boon",actor
"In Country Melody",2007,nm1979167,"Note Chern-Yim",actor
"Der Anfang war gut",2006,nm0758961,"Susanna Salonen",actress
"Hawkeye's Night Stories",2007,nm2364421,Hawkeye,actor
"Journal d'un fou",2001,nm0087399,"Mark Blandford",actor
"Tracks in Time",2010,nm11401676,"Rhett Reiger",actor
"Ich war Hitlers Bodyguard",2000,nm0460176,"Alexander Kluge",actor
Crime,2008,nm0774633,"Tom Scholte",actor
Oblivion,2006,nm0245465,"Stephen Dwoskin",actor
"Kaanal Neer",2007,nm1232849,Chinnijayanth,actor
Impasse,2009,nm3299928,"Joel Gauthier",actor
Spades,2005,nm3411137,"James Scott Flannery",actor
"The Beginning of a Rise",2009,nm3249357,"Tyce Francois",actor
Suzie,2009,nm0484307,"Micheline Lanctôt",actress
"Vambu Sandai",2008,nm1171296,"Raj Kapoor",actor
"The Enchanted Treehouse",2008,nm2132546,"Matt Schramer",actor
"No Reason to Exist",2009,nm3652638,"Adam Cooley",actor
"* Cemetery",2010,nm3798130,"B.J. Stack IV",actor
"Old Friends",2010,nm4043796,"Ansel Faraj",actor
Rooftops,2010,nm2000456,"Benjamin Scott Panock",actor
"Field Guide to November Days",2010,nm3401946,"Nick Peterson",actor
"Park Drive",2010,nm4150611,"Brett Wheat",actor
"Fertility Doctor",2010,nm2327364,"Bill Harvanek",actor
"Osage Tribal Murders",2010,nm0050466,"Sherwood Ball",actor
"To drama tis stavrosis stin Imvro",2004,nm4079846,"Katerina Manteli",actress
"Siddha Chal Canadu Nu",2005,nm1933346,"Sukhjinder Shera",actor
"Guilty Pleasures",2009,nm2090825,"Desmond Elliot",actor
"Star Trek: Incident at Beta 9",2002,nm1803818,"George Kayaian",actor
"311 And The Offspring Get Busted By Super Troopers",2001,nm0151540,"Jay Chandrasekhar",actor
"La jouissance des hystériques",2000,nm0118809,"Jan Bucquoy",actor
"Jack and Marilyn",2002,nm0001579,"Edward James Olmos",actor
"Is the Crown at War with Us?",2002,nm0643446,"Alanis Obomsawin",actress
"Iran: Veiled Appearances",2002,nm0584921,"Michel Thierry",actor
Mulletville,2002,nm1319352,"Tony Leahy",actor
Iowa,2005,nm0267902,"Matt Farnsworth",actor
"Traveller: Red",2006,nm2208173,"Andrew Merkelbach",actor
Handbikemovie,2003,nm0115610,"Martin Bruch",actor
"Den milde smerte",2010,nm0104888,"Carsten Brandt",actor
"A Letter to True",2004,nm0916510,"Bruce Weber",actor
"Untitled: A Love Story",2002,nm1698637,"Alexander Baack",actor
"Tears of a Clown",2005,nm0819038,"Tony Spires",actor
"What Love Is",2007,nm0552358,"Mars Callahan",actor
Xtacy,2005,nm1318697,"Tom DeGrezia",actor
"El gatillero de Tepito",2004,nm1901407,"Cuitlahuac Ortiz",actor
Governmentia,2005,nm1284939,"Ford Austin",actor
"Walking with Freedom",2005,nm1554266,"Michael Thomas Daniel",actor
"I.R.A.: King of Nothing",2006,nm0152082,"Damian Chapa",actor
"Little Girl Blue: What's Become of You?",2006,nm1138829,"Josh Austin",actor
"Les aristos",2006,nm0876942,"Charlotte de Turckheim",actress
"Surviving the Rush",2007,nm0267681,"Sean Farley",actor
"Baik Punya Cilok",2005,nm0789495,"Afdlin Shauki",actor
"A Stranger in My Homeland",2005,nm2081915,"Chloe Traicos",actress
"La cuirasse",2002,nm1614391,"Frédéric Provost",actor
Sides,2007,nm1964534,"Franco Trombino",actor
Nazareno,2007,nm0893411,"Varo Venturi",actor
Greetings,2007,nm0171829,"Kenneth Colley",actor
"16 Natkal",2005,nm11764463,"Ramesh Krish",actor
"Once & For All",2009,nm2561976,"Cory Reeder",actor
Bruchstein,2008,nm0717103,"Jörg Reichlin",actor
"The Missing Stories",2008,nm3180081,"Matthew Cade",actor
"Road Reps",2008,nm0908384,"Charles Wall",actor
"Attila and the Great Blue Bean",2007,nm0125340,"Kent Butterworth",actor
"Welcome to New York",2005,nm2115045,"Spencer Longmore",actor
"Sabor tropical",2009,nm0024521,"Jorge Ameer",actor
"Blood Donors",2009,nm2984804,"Kenny Carpenter",actor
Whore,2009,nm1823243,"Reinert Kiil",actor
"Sin retorno",2009,nm0412495,"Guillermo Iván",actor
Vision,2009,nm3142906,"Wednesday Alexander",actor
"Io & Marilyn",2009,nm0682251,"Leonardo Pieraccioni",actor
Welthund,2008,nm3641984,"Ueli Ackermann",actor
"The Figurine",2009,nm1875051,"Kunle Afolayan",actor
"Mustang Secrets Beyond the Himalayas",2009,nm3687058,"Jaswant Dev Shrestha",actor
"Vattnets själ",2008,nm3694041,"Kurt Skoog",actor
"People Talk",2006,nm3783827,"Brandon Van Vliet",actor
"The Happy Poet",2010,nm1969831,"Paul Gordon",actor
"All or Nothing",2010,nm3893489,"Craig Anderson",actor
"It's Us",2010,nm0087296,"Mariano Blanco",actor
"Finding Sky",2010,nm2908215,"Emily Sandifer",actress
"Ich sterbe",2004,nm3896679,"Fitz van Thom",actor
"Act of Vengeance",2010,nm1749449,"Mahsun Kirmizigül",actor
"Outrageus Office",2010,nm1992693,"András Korcsmáros",actor
"Benchu ziwuxian",2010,nm4346564,"Jin Wang",actor
"Profonds Regrets",2005,nm4490277,"Mora Junior Etienne",actor
"The Couchsurfing Film Project",2009,nm4849296,"Martin Boserup",actor
"Aprel May",2007,nm2735344,"Zebo Nuruzova",actor
Goulash,2008,nm6719859,"Wilco C. Rullens",actor
"The Dandy",2010,nm7004547,"Anthony Williams",actor
"Mask of Life on Yukio Mishima",2010,nm1919943,"Malga Kubiak",actress
"Zombie on the Loose",2010,nm0111926,"Conrad Brooks",actor
"Blood Bath of the Bat Beast",2010,nm1972065,"Larry Lopresti",actor
"Mulla Kireetam",2005,nm10015817,"N.S. Raja Reddy",actor
"Underground Boxing",2007,nm3852901,"Liam Galvin",actor
"Il messaggio",2003,nm10484588,"Daniel Scanu",actor
Frostbite,2010,nm2901551,"Jorge Requena Ramos",actor
"The Virgin Larry",2001,nm0226323,"Damion Dietz",actor
"The Backyard",2002,nm0396426,"Paul Hough",actor
"Alefbay-e afghan",2002,nm0538532,"Mohsen Makhmalbaf",actor
"Close, Closed, Closure",2003,nm0505488,"Ram Loevy",actor
