primary_title,start_year,directors,primary_name,category
"Three-Five People",2002,nm1165948,"Lin Li",actress
Schizophrenic,2002,nm1667127,"Anthony Duva",actor
"Love Hollywood Style",2006,nm0825574,"Michael Stein",actor
"Michael and Claire: A Portrait of Love and Dreams",2004,nm1144143,"Greg Stechman",actor
"Wounded Hearts",2002,nm0370142,"J.D. Hawkins",actor
"Colossal Sensation!",2004,nm0464417,"Róbert Koltai",actor
Excuses!,2003,nm0423307,"Joel Joan",actor
"Jimmy Bones",2003,nm0541909,"Louis Mandylor",actor
"The Night Is Slow",2003,nm0868779,"Olivier Torres",actor
Autograph,2004,nm0155741,Cheran,actor
"Making Something Up",2001,nm1676985,"Paul Kinney",actor
"The Self-Made Man",2005,nm0827860,"Susan Stern",actress
"The Sensei",2008,nm0409262,"Diana Lee Inosanto",actress
"Prostitution: Behind the Veil",2004,nm1901761,"Nahid Persson",actress
"The Devil Wears Spurs",2006,nm1989187,"Charlton Thorp",actor
"Revenge Live",2006,nm2014002,"Nate Parrack",actor
"Mandala 999 -Autorretrato 3-",2002,nm1376193,"Fausta Quattrini",actress
"Jardins en automne",2006,nm0409646,"Otar Iosseliani",actor
"And in the Morning They Woke Up",2003,nm0631963,"Sergey Nikonenko",actor
"Make My Day",2004,nm0324516,"Henrike Goetz",actress
"Bis zum Ellenbogen",2007,nm0230649,"Justus von Dohnányi",actor
Golem,2000,nm2284169,"Louis Nero",actor
"Last Seen at Angkor",2006,nm0606809,"Michael R. Morris",actor
"Ellos son noche",2002,nm2343229,"David Doncel",actor
Monkfish,2008,nm2369219,"Rod Webber",actor
"Four Horror Tales - Dark Forest",2006,nm1740242,"Jung-min Kim",actor
Brother,2008,nm2456843,"Lisa Ebersole",actress
"Help Me, Eros",2007,nm0497642,"Kang-sheng Lee",actor
Blackout,2009,nm2756091,"Ryan Curtis",actor
"Super Capers: The Origins of Ed and the Missing Bullion",2009,nm2050708,"Ray Griggs",actor
"The Explanation",2007,nm8261193,"Branden Paris",actor
"Big Things",2009,nm1111560,"Mark Devenport",actor
"Born of Hope",2009,nm2411369,"Kate Madison",actress
"Pedra, Peixe, Rio (Itamatatiua)",2009,nm2191206,"Iban Ayesta Aldanondo",actor
40,2007,nm0302085,"Aleksandr Galibin",actor
Sullen,2008,nm3236173,"Adam Thomas Huddleston",actor
"The Gate of Fallen Angels",2009,nm2776253,"Wolfgang Meyer",actor
Thullal,2007,nm10152627,"Praveen Gandhi",actor
"Krishna Nee Late Aagi Baaro",2010,nm9860657,"Mohan Shankar",actor
"Ami Bachte Chai",2007,nm2593193,"Abdur Razzak",actor
"The Pride",2008,nm0403441,"Gerard Hurley",actor
"Sul confine",2007,nm3462966,"Alberto Anzani",actor
Bambou,2009,nm0099828,"Didier Bourdon",actor
Vanguard,2010,nm3409532,"Maria Downey",actress
"Tar Creek",2009,nm3552288,"Matt Myers",actor
Victoria,2008,nm0439344,"Anna Karina",actress
"The Trickster",2006,nm0725647,"Robert Rico",actor
"Main Road",2003,nm0610217,"Richard Mover",actor
"Dreaming Mali",2010,nm1683263,"Barbara Kowa",actress
"Rogers and Clarke: The History of the Pacific Crest Trail",2009,nm0901909,"Tom von Badinski",actor
"The Soundtrack to My Life",2010,nm1948720,"Michael DiGiorgio Jr.",actor
"Great River",2010,nm3927987,"Matt Lemay",actor
"Monster Heroes",2010,nm0162889,"Danny Cistone",actor
"Waking Up",2010,nm3932425,"Jørgen Pedersen",actor
"La torre del tiempo",2009,nm1651599,"Claudio Bartel",actor
"Aquarius Rising",2007,nm4174243,"Brian C. Lawlor",actor
"The Book",2009,nm4289193,"Ben Hall",actor
"It's Nice Up North",2006,nm0271516,"Graham Fellows",actor
"Les Bleu Poudre: La Crème",2005,nm0850835,"Ghislain Taschereau",actor
"Black Family",2007,nm1979167,"Note Chern-Yim",actor
"Jodi No.1",2003,nm6174875,"Pratani Rama Krishna Goud",actor
"Poor People the Great",2010,nm1403029,"Boonsong Nakphoo",actor
"Finding Dawn",2006,nm0920531,"Christine Welsh",actress
"Boarisch pilgern",2009,nm6332562,"Erik Grun",actor
"Bichchu Bahini",2001,nm6687585,Rubel,actor
"Szibéria, a Bajkál Vidékén",2009,nm6146432,"Ferenc Borbély",actor
Mates,2008,nm1307678,"Luke Robson",actor
"Out West",2000,nm3301336,"Curtis Cooknell",actor
Jessica,2005,nm7644126,"Brewster Hammer",actor
"Torrente 2: Mission in Marbella",2001,nm0782213,"Santiago Segura",actor
"Victor Martin's Mission",2000,nm0744751,"Didier Roten",actor
"Along the Way",2007,nm0100793,"Andrew Bowen",actor
"The Brooklyn Boys",2002,nm0080729,"John Bianco",actor
"Whatever You Say",2002,nm0133899,"Guillaume Canet",actor
"Box Head Revolution",2002,nm0160257,"Mark Christensen",actor
"Love Forbidden",2002,nm0545876,"Rodolphe Marconi",actor
"Thicker Than Water",2002,nm1258827,"Steven C. Willoughby",actor
"3 Deewarein",2003,nm0474398,"Nagesh Kukunoor",actor
"The Return of the Forest Monster",2003,nm0467787,"Vance Kotrla",actor
"The Godfather of Green Bay",2005,nm1046710,"Pete Schwaba",actor
"Million Dollar Baby",2004,nm0000142,"Clint Eastwood",actor
Barefoot,2005,nm0001709,"Til Schweiger",actor
"Hell Ride",2008,nm0084114,"Larry Bishop",actor
Buli,2004,nm0789495,"Afdlin Shauki",actor
"Once Upon a Time in New York",2004,nm1732120,"Craig Parten",actor
"Pantera vive",2004,nm1351834,"Diego Shaalo",actor
"VooDoo Curse: The Giddeh",2006,nm0687625,"Glenn Plummer",actor
"The Garth Method",2004,nm2020868,"Gregory Pakis",actor
"The Happiest Day of His Life",2007,nm0123753,"Ursula Burton",actress
"Antimoz iverieli",2001,nm0158920,"Giuli Chokhonelidze",actor
"Fragments of Daniela",2006,nm2296797,"Sasha Knezev",actor
"Hub Culture Retrospectives: Antarctica",2006,nm2309693,"Stan Stalnaker",actor
"Three Girls",2007,nm0406533,"Murad Ibragimbekov",actor
Mo,2007,nm2619275,"Brian Scott Lederman",actor
"The Reflecting Pool",2008,nm1141859,"Jarek Kupsc",actor
"How Clarence Became Truly Normal",2007,nm1621625,"Steve Kopera",actor
"Of the Flesh",2007,nm0553047,"Scott A. Martin",actor
"Badman Bondage 21",2009,nm9644641,"Jerry Badman",actor
"Off Off Broadway",2007,nm0404124,"Jeff Huston",actor
Nuclear,2009,nm1919905,"Donavon Warren",actor
"Tour de Force",2010,nm1330023,"Kim Sønderholm",actor
Joya,2008,nm1602736,"Gabriel Bossio",actor
"Shrink Me",2010,nm0002913,"Chris Jaymes",actor
"Trail of the Panda",2009,nm1101187,"Zhong Yu",actor
Porno,2004,nm2162290,"Akihiro Kitamura",actor
"Diary of a Tired Black Man",2008,nm1968975,"Tim Alexander",actor
"The Fibros and the Silvertails",2007,nm1470998,"Paul Oliver",actor
"Living Proof",2007,nm3267842,"C. Blake Evernden",actor
"Perfect Sunday",2010,nm0622860,"Demetrius Navarro",actor
Thaco,2008,nm3392774,"Bill Stiteler",actor
Scalpers,2009,nm0316310,"Jay Giannone",actor
"Tender Son: The Frankenstein Project",2010,nm0610960,"Kornél Mundruczó",actor
"The Show Businessman",2009,nm2095678,"Aaron Kozak",actor
"My American Nurse 2",2010,nm1588136,"Pascal Atuma",actor
"Model Culture: One + Night in Bangkok",2009,nm1755945,"Dave Cote",actor
"Everyone Says I Look Just Like Her",2010,nm3065825,"Ryan Balas",actor
"Guido Superstar: The Rise of Guido",2010,nm0689605,"Silvio Pollio",actor
"Bad Batch",2010,nm3815061,"Abe Schwartz",actor
"The Light Thief",2010,nm0008332,"Aktan Arym Kubat",actor
"Héen Táak",2010,nm0489811,"Nathalie Lasselin",actress
"Runways & BunkBeds",2010,nm2483711,"Axel Harney",actor
"Not I",2010,nm2020165,"Deniz Demirer",actor
"The Dark Warrior",2008,nm4175647,"Frank Raffel",actor
"For Aaron: The Documentary",2010,nm4099450,"Justin Jarrett",actor
"Linha Ténue",2010,nm4107306,"Tiago Dias",actor
Soulripperz,2006,nm2914215,"William Lee",actor
"Spiritual Warfare",2010,nm4254881,"Joshua Sheese",actor
"Southern Softies",2009,nm0271516,"Graham Fellows",actor
Ambrosia,2004,nm4811580,"Hiroki Iwatani",actor
"A Most Useless Place",2007,nm2110498,"Gavin Michael Booth",actor
"Gangsta's Hell",2007,nm2349311,"R. Kan Albay",actor
"The Portal: The Hessdalen Light Phenomenon",2009,nm2360707,"Terje Toftenes",actor
"The Movies",2006,nm4091649,"Tom Getty",actor
"Rashichakra: Mithun",2010,nm6140592,"Sharad Upadhye",actor
"Napad na stanicu ekspres",2007,nm6454469,"Radenko Stojanovic",actor
"Sarzamine Madari",2002,nm2398253,"Kambiz Kashefi",actor
"The Fisher: Tacklebox",2007,nm7294130,"Derek Klanfer",actor
"From Scratch",2005,nm6508596,"Mark K. Buddington",actor
"Familiar Foreigners",2009,nm2461708,"Nickola Shreli",actor
"Still Waters",2009,nm1111304,"Indi Wijay",actor
"The Suitcase",2002,nm0477024,"Hans Magnus Kvåle",actor
"Emotional Backgammon",2003,nm0378586,"Leon Herbert",actor
"Ali, Rabiaa et les autres",2000,nm0099424,"Ahmed Boulane",actor
"Echo: A Rock and Roll Tragedy",2001,nm0894308,"Tony Verley",actor
"7 Year Zig Zag",2003,nm0338270,"Richard Green",actor
Almost,2002,nm0536860,"Laurence Maher",actor
"Paris selon Moussa",2003,nm0235370,"Cheik Doukouré",actor
Shara,2003,nm0442905,"Naomi Kawase",actress
"Journey of Redemption",2002,nm1592046,"Mark Harwell",actor
"After the Past",2004,nm0011042,"Ash Adams",actor
"Flüssig - A River Movie",2003,nm0835274,"Thomas Struck",actor
"Me and You and Everyone We Know",2005,nm0432380,"Miranda July",actress
"Ben - Nichts ist wie es scheint",2005,nm1683688,"Thomas Schaurer",actor
"WWW: What a Wonderful World",2006,nm0072364,"Faouzi Bensaïdi",actor
"From the Outside In",2005,nm0560951,"Jeremy Maupin",actor
"For Love & Stacie",2006,nm1841211,"Raymond J. Schlogel",actor
"Valerie & Sid",2006,nm1479226,"Angelo Bell",actor
"Last of the Spanish Mustangs",2005,nm0425629,"Len Johnson",actor
"When Is Tomorrow",2007,nm0285738,"Kevin Ford",actor
"The Gift: At Risk",2007,nm0701504,"Elana Krausz",actress
Party,2006,nm2560181,"Ravi Babu",actor
"Aaj Ka Laawaris",2006,nm0035018,"Arjun Sarja",actor
"A Gamer's Tale: Get Pwned!",2009,nm3729645,"Jake Woodbridge",actor
"Pale Blue Balloons",2008,nm3008388,"Michael Fredianelli",actor
"Nisei Dialect",2008,nm2807819,"Ken Shinozaki",actor
"Malarinum Melliya",2008,nm12115570,"P.S. Selvaraj",actor
Solitaire,2009,nm3312962,"Asa Holley",actor
"Complete Uknowns",2009,nm3357611,"Tom Hall",actor
"8 Behind the Wheel",2009,nm2405522,"Trace Burroughs",actor
Gee,2009,nm3190722,"Matt Durrant",actor
"Our Right to Ride",2009,nm3610124,"Hanan Al Muhairi",actor
Litterbug,2009,nm1309502,"Mikey Brown",actor
Alemania,2010,nm1462520,"Luis G. Blanco",actor
"The ZOO: A Holiday Special",2009,nm2340979,"Scott Hillhouse",actor
"Come to Me",2007,nm3266654,"Omer Pasha",actor
Deal,2010,nm3411137,"James Scott Flannery",actor
"The Golden Ram",2010,nm3749413,"Alain G Cloarec",actor
"The Player",2009,nm0032205,"John Appel",actor
"Chilli Is Dead",2010,nm1373694,"Josh Morales",actor
"Heroic Ambition",2010,nm1419855,"Scott Cranford",actor
"Secret Societies and the Global Conspiracy",2010,nm3032813,"Philip Gardiner",actor
"Cold Comfort for Change",2002,nm1420834,"Susan Lee Burton",actress
"Genesi: The First Key",2003,nm1384340,"Matthew Campagna",actor
"Apartment F",2000,nm3710872,"Erik Peter Carlson",actor
Dretelj,2008,nm0194154,"Denis Cviticanin",actor
"Secret Societies",2007,nm3032813,"Philip Gardiner",actor
"ID non significa idiota",2007,nm4206846,"Stefano Pistolini",actor
"Pierino E Il Lupo",2005,nm0197996,"Lucio Dalla",actor
Shanthi,2009,nm10044682,"Ballem Venu Madhav",actor
"La Pelota de Letras",2005,nm5779093,"Andrés López",actor
"Ein kleiner Film für Bonn",2000,nm0928537,"Klaus Wildenhahn",actor
"Maa Tujhhe Salaam",2002,nm0894354,"Tinnu Verma",actor
"Dallas 362",2003,nm0004790,"Scott Caan",actor
"My Struggle",2000,nm0159675,"Joe Christ",actor
"L.A. D.J.",2004,nm0005272,"Thomas Ian Nicholas",actor
Leatherheads,2008,nm0000123,"George Clooney",actor
Evp,2003,nm0661158,"Paul Parducci",actor
"The Descent of Walter McFea",2002,nm1577772,"Andrew Bowler",actor
"The Blue Rose",2007,nm0460956,"Joe Knight",actor
"Forever for Now",2004,nm0921142,"Kipley Wentz",actor
Crutch,2004,nm0604344,"Rob Moretti",actor
"Cumhurbaskani öteki Türkiye'de",2004,nm0016089,"Zeki Alasya",actor
"All or Nothing: A Moscow Detour",2004,nm1747379,"Gabrielle Bloch",actress
U.V.O,2004,nm1815356,"Wolfgang Brandstetter",actor
Splinter,2006,nm0561031,"Kai Maurer",actor
"Once Upon a Midnight Dreary",2003,nm1793305,"Mike M. Burke",actor
Sweetzer,2007,nm0721994,"Wayne Reynolds",actor
Byatikrami,2003,nm0899800,"Ashoke Viswanathan",actor
"For Your Consideration",2006,nm0001302,"Christopher Guest",actor
"Yam yasothon",2005,nm1002207,"Petchtai Wongkamlao",actor
"As an Act of Protest",2002,nm2081541,"Dennis Leroy Kangalee",actor
"Framing Frankie",2005,nm2094458,"Ben Allen",actor
"The Pastry Girl",2002,nm0846700,"Iraj Tahmasb",actor
Bristol,2006,nm1980435,"Marc Bruimaud",actor
"Movie Pizza Love",2008,nm0994588,"Peter Wick",actor
"My Dead Girlfriend",2006,nm1448482,"Brett Kelly",actor
"Kamasutra Nights",2008,nm1394272,"Eric Manning",actor
Nachmittag,2007,nm0770018,"Angela Schanelec",actress
"Lost: Black Earth",2004,nm2485957,"James Cole",actor
"White Wall",2010,nm2554839,"James Boss",actor
"Penyesalan Tak Berakhir",2007,nm2699357,"Julian Cheah",actor
"Sordid Things",2009,nm1723444,"Andrew Bloomenthal",actor
"Blood Ties",2007,nm0565955,"Kely McClung",actor
Coyote,2007,nm0962358,"Brian Petersen",actor
"Night of the Revenge of the Evil Zombitron Spy-bot",2009,nm1009137,"Michael Kallio",actor
Leo,2007,nm0267244,"Josef Fares",actor
Ciplak,2006,nm2885846,"Khairil M. Bahar",actor
Superhero,2007,nm4603149,"Jennifer Corday",actress
"Great Irish Drinks: The History of Irish Breweries & Distilleries",2003,nm3645961,"Liam Dale",actor
Addicts,2009,nm3068369,"Ali Askari",actor
"Where We All Start",2001,nm1529053,"John Giaccone",actor
"My Beijing Birthday",2008,nm3201947,"Howie Snyder",actor
"The Road to Independence",2007,nm3264965,"Mike Church",actor
Ashley,2007,nm3324493,"Bryan Belser",actor
"Lexie Cannes",2009,nm1093480,"Tom Bertling",actor
"Fairview St.",2010,nm1559618,"Michael McCallum",actor
"Blueprints for Collapse",2009,nm3598329,"K. Curtis Charles",actor
Lan,2009,nm0422639,"Wenli Jiang",actress
"King of the Escape",2009,nm1441714,"Itsuji Itao",actor
Ennui,2010,nm3623771,"Michael Henry",actor
"Into the Welkin",2010,nm3829196,"Shaun Cooney",actor
"3rd World",2010,nm2221545,"Vasilis Blioumis",actor
"Five Days Gone",2010,nm2052156,"Anna Kerrigan",actress
"Broken Hearts",2009,nm1885867,"Peter Beary",actor
"The Collector",2006,nm1200142,"Olympia Stone",actress
"Ha Markiz Mi-Bnei Brak",2010,nm3340885,"David Moran",actor
"Askin ikinci yarisi",2010,nm0039530,"Mehmet Aslantug",actor
Soul-Full,2010,nm4239279,"Victor 'Baby Dre' Chaney",actor
Gone,2006,nm2276572,"Drew Kochera",actor
"The Pure Party",2009,nm4373497,"Spain Willingham",actor
"Single Minded",2010,nm4415644,"Luke Tedder",actor
"A Day in the Life",2010,nm4580136,"Victor Greywolf",actor
"El Desvío - Pacto Incumplido",2010,nm4735457,"Juan Ramón Martinez",actor
"The Twitching Dead",2000,nm2502243,"Shaun Robert Smith",actor
"Nozoki! Obasan no seitai: Gogo no ma otoko",2003,nm0619107,"Masayoshi Nogami",actor
"Gifu no yubi asobi: Nukanaide",2003,nm0619107,"Masayoshi Nogami",actor
"Star Trek I: Specter of the Past",2010,nm1744370,"Brandon M. Bridges",actor
"Hopes & Dreams",2000,nm1415550,"Paul Field",actor
"Ek Aur Daasi",2002,nm5509584,"Israr Ahmed",actor
"Faceless Things",2005,nm3410333,"Kyung-mook Kim",actor
"Xizang Lvren",2007,nm1851471,"Thomas Lim",actor
"Ahorrar cuenta",2009,nm0616325,"Sergio Muñoz",actor
"Crazy Blood",2006,nm0750911,"Gaetano Russo",actor
"Do Over",2008,nm8595567,"Furqan Dogar",actor
"Ogawa Miyuki: Oshaburi jôzu",2002,nm3135033,"Shigeo Moriyama",actor
"Poulpe Fiction",2005,nm5627697,Sydney',actor
"Virgin.. Mira",2010,nm6866744,"Amit r Agarwal",actor
"Inside Inoxia",2003,nm1592202,"Johnny Terris",actor
"Curse Of The Jade Scorpion",2001,nm0000095,"Woody Allen",actor
"Rocks at Whiskey Trench",2000,nm0643446,"Alanis Obomsawin",actress
Stakaman!,2001,nm0434511,"Antonis Kafetzopoulos",actor
"Show Me the Aliens!",2000,nm0996097,"Devin Crowley",actor
"Seeing an Abundant Present",2000,nm1118404,"Lorie Hope",actress
Surrender,2003,nm0112085,"Katherine Brooks",actress
"Particles of Truth",2003,nm1170197,"Jennifer Elster",actress
"5 Guns West",2002,nm0136301,"Tim Card",actor
"Il diario di Matilde Manzoni",2002,nm0135320,"Lino Capolicchio",actor
Krush,2005,nm1201074,"Topher Straus",actor
"Only in Hollywood",2002,nm1305223,"Michael J. Holland",actor
"Not It!",2002,nm1351915,"London Smith",actor
"Inheritance: A Fisherman's Story",2003,nm0994534,"Péter Hegedüs",actor
Bastards,2003,nm0710372,"Mort Ransen",actor
"Social Genocide",2004,nm0812625,"Fernando E. Solanas",actor
"La vie de Michel Muller est plus belle que la vôtre",2005,nm0612204,"Michel Muller",actor
"Sex & Sushi",2006,nm1844950,"Robert Lawton",actor
"Alyssa & Sara",2005,nm0993788,"Josh Wick",actor
LOL,2006,nm1846132,"Joe Swanberg",actor
Bullied,2005,nm1856810,"Anthony Spadaccini",actor
"The Decoy",2006,nm1854930,"Justin Kreinbrink",actor
"No White Knight",2005,nm2100019,"Kevin Marron",actor
"The Soup, One Morning",2005,nm2107329,"Izumi Takahashi",actor
Nandini,2006,nm0753456,"Helle Ryslinge",actress
"On Oak Island",2006,nm2092060,"Joseph Horn",actor
"The Game",2000,nm2081348,"Hilton Ariel Ruiz",actor
"The Candidate",2007,nm0034390,"Niels Arestrup",actor
"El rey de los huevones",2006,nm0703253,"Boris Quercia",actor
"Unnatural Disaster",2006,nm0102369,"Diana Boylston",actress
"Off the Ledge",2009,nm0026460,"Brooke Anderson",actress
Garrison,2008,nm2415923,"Kerry Valderrama",actor
"The Hostel Poet",2007,nm10574875,"Brian Mahlum",actor
"A Stupid Movie for Jerks",2007,nm2632331,"Mike Sarti",actor
Aquarium,2005,nm0994308,"Iraj Ghaderi",actor
"Vampire Hunter",2004,nm1499143,"Sean Gallimore",actor
"Yeh Hai Pyar Ka Mausam",2001,nm1763273,"Rajesh Bakshi",actor
"The Red Cell",2008,nm2424705,"Chris Schwartz",actor
Mine,2009,nm0098524,"Detlef Bothe",actor
Juventude,2008,nm0210659,"Domingos de Oliveira",actor
Trip,2009,nm3628113,"Bernard Custodio",actor
"Egg Nog",2010,nm2965299,"Brandon Robinson",actor
"Basilicata Coast to Coast",2010,nm0660266,"Rocco Papaleo",actor
"Fleur et couteau",2009,nm3718198,"Sj Revo Kim",actor
"Small Town Killing",2010,nm3116690,"Travis L. Cook",actor
Needles,2010,nm3878778,"Samuel Supple",actor
"Calf Roping",2010,nm3928420,"Kyle Hintz",actor
"King Kongs Tränen",2010,nm0449489,"Peter Kern",actor
"2 Frogs in the West",2010,nm0660479,"Dany Papineau",actor
"Leave Blank",2010,nm0894812,"Todd Verow",actor
"A Few Days of Respite",2010,nm3063985,"Amor Hakkar",actor
"The Insomniac",2009,nm4276553,"Madhav Mathur",actor
"Iran Zendan",2010,nm0794779,"Daryush Shokof",actor
"Az indigóember",2007,nm3070849,"Martin Csaba",actor
"Party Games",2009,nm2509898,"Robin Wyatt Dunn",actor
"The Ark, the Shroud and Mary: Gateway into a Quantum World",2006,nm3032813,"Philip Gardiner",actor
"Snuf de hond en de jacht op vliegende Volckert",2008,nm0429535,"Steven de Jong",actor
"Under the Peach Tree",2007,nm0846700,"Iraj Tahmasb",actor
"Manna: Towards a New Understanding of Nature",2003,nm4755077,"Simon G. Powell",actor
"Resurrection in Blood",2009,nm4919289,"Lorenzo Lepori",actor
"Resurrection in Blood",2009,nm4919289,"Lorenzo Lepori",actor
"Rashichakra: Tula",2010,nm6140592,"Sharad Upadhye",actor
"Ordre de tuer",2007,nm8306570,"Emmanuel Buriez",actor
"Boonchu Jayunaijaisamer",2010,nm2633969,"Kiat Kitjaroen",actor
"Today's Officers",2008,nm6507874,"Chris Walker-Thomson",actor
"Israel Is Real",2007,nm2085931,"Tamar Elhayani",actress
Subhash,2007,nm10052521,"Bondugula Srinivas Reddy",actor
"Lady of The Night",2009,nm6286375,"Amrish Raine",actor
"A Smaller World",2000,nm0702792,"Corky Quakenbush",actor
"The Waking",2001,nm0136301,"Tim Card",actor
"Running Out",2001,nm1089318,"Byron Cepek",actor
"Spanish Fly",2002,nm0003930,"Will Wallace",actor
"The Lost City",2005,nm0000412,"Andy Garcia",actor
"Cofralandes: Chilean Rhapsody, Part One",2002,nm0749914,"Raoul Ruiz",actor
"Giuseppe Verdi",2000,nm0054672,"Francesco Barilli",actor
"King Leisure, S.O.B.",2004,nm0227747,"Pat DiNizio",actor
"Love Me, If You Can",2003,nm1543911,"Alice Wang",actress
"The Tiger and the Snow",2005,nm0000905,"Roberto Benigni",actor
"The Jersey Devil",2005,nm1370480,"Dan De Luca",actor
"Les vacances de Noël",2005,nm0118809,"Jan Bucquoy",actor
"The Conrad Boys",2006,nm1965113,"Justin Lo",actor
Antifilm,2002,nm0108889,"Edwin Brienen",actor
"Dark Country",2009,nm0005048,"Thomas Jane",actor
Carreiras,2005,nm0210659,"Domingos de Oliveira",actor
"The Sex of Madame H",2005,nm0486188,"Rémi Lange",actor
Climates,2006,nm0149196,"Nuri Bilge Ceylan",actor
Revoloution,2006,nm0139617,"Bret Carr",actor
Hamlet,2005,nm0146910,"Stephen Cavanagh",actor
"God's Ears",2008,nm0941708,"Michael Worth",actor
"Buffalo Bushido",2009,nm1729162,"Peter McGennis",actor
"Acts of Violence",2010,nm1702656,"Il Lim",actor
"Gay Invaders... from the Future",2006,nm2088371,"Aaron Blair",actor
Crackpot,2006,nm0445731,"Michael Keller",actor
"Glory to the Filmmaker!",2007,nm0001429,"Takeshi Kitano",actor
Disquiet,2006,nm2580201,"Matthew Doyle",actor
"Aaj Kal",2010,nm2644555,"Tarun Verma",actor
"Polanski Unauthorized",2009,nm0152082,"Damian Chapa",actor
"North Starr",2008,nm1285846,"Matthew Stanton",actor
"10 + 4 (Dah be alaveh chahar)",2007,nm1178113,"Mania Akbari",actress
"Cofralandes, Part Two: Faces and Places",2002,nm0749914,"Raoul Ruiz",actor
"Midnight Afternoon",2009,nm3202967,"Vickus Clark",actor
"Out of the Fog",2009,nm3202371,"Maya Batash",actress
"Cash & Marry",2009,nm1389493,"Atanas Georgiev",actor
"The Heart of No Place",2009,nm3325249,"Rika Ohara",actress
"America the Mental",2008,nm0107415,"Tee Brennan",actor
"Help Me, Help You",2009,nm2714975,"Ravi Godse",actor
Ruins,2004,nm3458753,"Patrick Heeren",actor
"Waterscape: Illusions",2007,nm3707587,"Ann Deborah Levy",actress
Boy,2010,nm0169806,"Taika Waititi",actor
"Hunted by Night",2010,nm1282524,"Juan Bofill",actor
"Maybe I Should Have",2010,nm3838049,"Gunnar Sigurdsson",actor
Meltdown,2009,nm3781956,"Christopher J. Martin",actor
"Nothing But the Truth",2008,nm0434712,"John Kani",actor
María,2010,nm0021193,"Fernando Allende",actor
Hitokiri,2008,nm3796124,"Thanos Kermitsis",actor
"The Flew",2008,nm3231242,"Clifton Childree",actor
"El Recluta",2010,nm1351834,"Diego Shaalo",actor
"Beirut Kamikaze",2010,nm4320620,"Christophe Karabache",actor
Green,2010,nm3010160,"Nick Gregorio",actor
"A Course in Miracles: The Movie",2010,nm4454209,"Ike Allen",actor
"Tamashii no kyouiku",2008,nm0794230,"Tetsu Shiratori",actor
Aussig,2010,nm1639995,"Tony Laue",actor
"420 High Desert Way",2010,nm0106705,"Tom Breedlove",actor
"The Best Movie Ever",2008,nm4345041,"Sean Konig",actor
"Gekidan Bakudan Kudanshita",2002,nm4811580,"Hiroki Iwatani",actor
Stalking,2010,nm1616787,"Thaddeus Jaworsky",actor
"Varat Aali Gharat",2009,nm3836224,"Vijay Gokhale",actor
"Nighttime Eyes",2003,nm4153241,"Salim Khassa",actor
"A regéci vár alatt",2001,nm3810061,"Nóra Ruszkai",actress
Cross-Contamination,2007,nm5089534,"Andrew Bowcock",actor
"Con Gli Occhi Di Un Altro",2010,nm7515342,"Antonio Raffaele Addamo",actor
"Grégoire Moulin contre l'humanité",2001,nm0671844,"Artus de Penguern",actor
"Divine Intervention",2002,nm0837839,"Elia Suleiman",actor
"Die Sehnsucht nach dem Mehr",2000,nm0026109,"Carl Andersen",actor
"(Paris: XY)",2001,nm0487617,"Zeka Laplaine",actor
"The Fourth Dimension",2001,nm0872954,"T. Minh-ha Trinh",actor
"For One More Hour with You",2002,nm0544967,"Alina Marazzi",actress
"Personal Mail",2003,nm0757548,"Corso Salani",actor
"Ghost of the Needle",2003,nm0042932,"Brian Avenet-Bradley",actor
"A Normal Life",2003,nm1402994,"Dewey Moss",actor
"Broken Echoes",2004,nm0992730,"Kirk Sanders",actor
"Looking for Kitty",2004,nm0122653,"Edward Burns",actor
Downtown,2003,nm1621589,"Jason Herbert",actor
"Unknown White Male",2005,nm1783716,"Rupert Murray",actor
"Je Bho Ramrai Bho",2003,nm1854399,"Hari Bansha Acharya",actor
Blacktown,2005,nm0826541,"Kriv Stenders",actor
"A City Is Beautiful at Night",2006,nm0092184,"Richard Bohringer",actor
"Big Stan",2007,nm0001705,"Rob Schneider",actor
"Change of Address",2006,nm0609981,"Emmanuel Mouret",actor
"Duk dum dui",2003,nm1001689,"Suthep Po-ngam",actor
"For No Good Reason",2004,nm2307860,"Ryan Baggaley",actor
"The Seduction of Dr. Fugazzi",2009,nm1872762,"October Kingsley",actress
"The Erotic Samurai",2006,nm2375114,"G.R. Claveria",actor
"Missing Victor Pellerin",2006,nm1834561,"Sophie Deraspe",actress
"Death List",2006,nm1114894,"Ara Paiaya",actor
"Dr. Hand",2005,nm1286368,"Gary Brooks",actor
"Dream Boys: Broken Dreams",2009,nm10953723,"Florin Calin",actor
"Just Say Love",2009,nm0401975,"Bill Humphreys",actor
"Ich begehre",2007,nm0579882,"Mario Mentrup",actor
"The Disciple",2008,nm0153139,"Rodney Charles",actor
"There's a Stranger in My House",2009,nm0694066,"Clifton Powell",actor
"Crippled Heart",2009,nm2276572,"Drew Kochera",actor
"Here's to Love!",2009,nm3244034,"Scott Foust",actor
Muniya,2008,nm2145501,"Eliyas Qureshi",actor
INRI,2009,nm0084646,"Emerson Bixby",actor
"Trans#: Working Title",2008,nm3328045,Jin,actress
"Turk's Head",2010,nm0253018,"Pascal Elbé",actor
"The Invisible Forest",2008,nm0021334,"Antero Alli",actor
Power,2009,nm3324493,"Bryan Belser",actor
